label,year1958,year1959,year1960,year1961,year1962,year1963,year1964,year1965,year1966,year1967,year1968,year1969,year1970,year1971,year1972,year1973,year1974,year1975,year1976,year1977,year1978,year1979,year1980,year1981,year1982,year1983,year1984,year1985,year1986,year1987,year1988,year1989,year1990,year1991,year1992,year1993,year1994,year1995,year1996,year1997,year1998,year1999,year2000,year2001,year2002,year2003,year2004,year2005,year2006,year2007,year2008,year2009,year2010,year2011,year2012,year2013,year2014,year2015,year2016,northing,easting
"132500,802500",0,2,0,7,4,0,2,1,1,8,0,1,3,0,1,2,6,3,3,3,1,6,7,6,7,4,4,5,8,4,6,8,9,5,9,3,7,3,4,2,8,8,5,2,2,1,9,8,7,5,6,7,0,9,4,5,9,9,6,802500,132500
"137500,802500",0,2,1,7,4,0,2,1,1,8,0,0,3,0,2,3,6,3,3,3,1,6,7,6,7,4,4,5,8,4,6,8,9,5,9,3,7,2,4,2,8,7,5,1,2,1,8,9,8,5,6,7,0,9,4,5,9,9,6,802500,137500
"257500,297500",9,4,9,4,3,1,2,6,3,8,5,5,8,1,2,4,5,1,0,6,1,8,6,8,4,5,2,6,8,7,7,1,2,0,6,7,9,0,0,2,9,8,9,3,3,0,6,2,4,3,7,5,0,1,9,3,4,7,7,297500,257500
"262500,297500",9,4,9,4,3,1,2,6,3,8,6,5,7,1,2,4,5,1,0,6,1,9,6,8,4,5,2,6,8,7,7,0,2,0,5,7,8,0,1,2,9,8,9,3,3,0,6,1,4,3,7,5,0,2,9,3,4,7,8,297500,262500
"267500,297500",9,4,9,3,3,0,1,6,2,8,3,3,7,1,1,4,7,1,0,5,2,7,6,6,4,5,2,7,9,9,8,2,5,1,5,6,8,0,0,1,8,8,9,4,6,0,7,2,5,3,8,3,0,4,9,2,4,7,6,297500,267500
"272500,297500",8,4,9,3,2,0,2,7,4,7,3,3,7,1,1,4,6,0,0,5,2,7,6,7,5,6,1,9,9,9,9,2,5,1,6,3,8,1,0,1,8,8,8,4,6,0,6,2,5,3,8,3,0,4,9,2,4,7,5,297500,272500
"277500,297500",8,3,9,2,2,0,1,7,4,7,2,3,6,0,0,3,7,1,0,5,2,6,6,6,4,7,2,5,9,8,8,3,6,2,6,5,9,1,1,1,9,8,9,4,8,0,7,3,5,4,8,3,0,5,9,1,4,7,4,297500,277500
"282500,297500",8,2,9,1,2,0,1,7,5,7,3,3,3,0,0,3,8,1,0,6,2,6,6,7,5,7,2,2,8,4,6,4,7,2,5,4,9,1,1,1,9,9,9,3,8,0,7,4,6,4,8,5,0,5,9,3,6,8,4,297500,282500
"287500,297500",8,2,9,1,1,0,1,8,5,7,4,2,7,0,2,3,8,0,0,6,3,6,5,7,4,7,2,2,7,4,6,3,7,3,6,5,9,1,1,1,9,8,9,3,8,0,6,3,5,5,9,4,0,4,9,2,6,8,4,297500,287500
"292500,297500",7,2,9,1,1,0,1,8,5,8,4,2,7,0,2,2,8,0,0,6,3,6,5,6,4,7,3,3,7,4,7,3,6,3,6,5,9,1,1,1,9,8,9,3,8,0,5,2,5,6,9,4,0,4,9,2,7,8,4,297500,292500
"297500,297500",7,3,9,1,2,0,1,8,5,8,4,2,7,0,2,1,7,0,0,6,2,6,5,6,5,6,4,2,7,4,7,3,5,3,6,6,9,1,1,1,9,9,9,3,8,0,5,2,4,7,8,4,0,3,9,3,8,8,4,297500,297500
"262500,292500",9,3,9,4,3,0,1,5,2,8,4,5,7,2,1,4,7,1,0,6,1,8,6,6,5,6,3,4,8,7,7,2,3,0,6,6,9,0,1,1,9,8,9,3,4,0,7,2,5,2,8,4,0,2,9,3,5,8,7,292500,262500
"267500,292500",9,3,9,2,2,0,1,6,3,7,2,4,7,1,1,4,7,0,0,5,1,8,6,7,5,6,2,5,8,8,7,3,4,2,6,6,9,0,1,1,9,8,9,4,6,0,7,3,5,4,8,3,0,3,9,2,4,8,5,292500,267500
"272500,292500",9,3,9,3,2,0,1,7,2,6,2,3,7,1,1,4,7,1,0,6,2,7,5,6,4,6,1,7,9,8,8,3,5,2,6,5,8,0,0,1,9,8,9,4,6,0,7,3,5,4,8,3,0,4,9,2,4,8,5,292500,272500
"277500,292500",9,2,9,2,1,0,1,7,3,7,3,3,6,0,1,4,8,1,0,6,2,7,5,6,4,7,2,4,8,6,8,3,6,3,6,5,9,1,0,1,9,8,9,4,7,0,7,2,5,4,8,3,0,4,9,2,5,8,5,292500,277500
"282500,292500",8,2,8,1,2,0,0,7,5,7,3,2,6,0,1,4,8,1,0,6,3,7,5,7,4,7,2,2,8,3,6,4,7,3,6,5,9,1,1,1,9,9,9,3,8,0,6,3,5,5,9,4,0,4,9,2,6,8,4,292500,282500
"287500,292500",7,2,9,1,1,0,0,8,5,8,4,3,7,0,2,3,8,1,0,6,4,7,4,7,5,7,2,2,6,3,6,4,7,3,6,5,9,1,1,1,9,9,9,3,8,0,5,2,5,6,9,4,0,4,8,2,6,8,3,292500,287500
"292500,292500",7,2,8,1,1,1,0,8,5,7,4,2,6,0,2,3,8,0,0,6,3,6,5,7,4,7,3,2,7,3,6,4,7,3,6,5,9,1,1,1,9,9,9,3,8,0,5,2,5,6,9,4,0,4,9,2,8,8,4,292500,292500
"297500,292500",7,2,9,1,1,0,0,7,4,6,4,2,4,1,3,2,8,0,0,7,3,6,6,8,6,7,5,2,7,4,6,3,6,3,5,5,9,2,1,1,9,9,9,3,8,0,4,1,5,7,8,5,0,2,9,3,8,8,4,292500,297500
"262500,287500",9,1,8,3,1,0,0,3,1,8,3,4,8,2,2,4,5,1,0,4,1,8,4,7,6,7,4,6,7,7,6,3,5,3,5,7,9,0,0,2,9,9,9,5,6,1,7,2,4,6,8,3,0,2,9,2,5,8,6,287500,262500
"267500,287500",9,1,8,2,2,0,1,6,4,8,1,4,8,1,2,5,6,1,0,5,2,8,5,7,5,7,3,4,7,6,7,3,4,2,6,7,9,0,1,3,9,9,9,6,6,0,8,2,4,5,8,3,0,3,9,0,3,7,4,287500,267500
"272500,287500",9,1,9,2,1,0,1,6,3,7,1,3,8,1,2,5,7,0,0,5,3,7,5,7,4,6,2,4,8,6,7,2,5,3,7,6,9,0,1,2,9,8,9,4,6,0,8,3,4,5,8,3,0,4,9,2,4,8,6,287500,272500
"277500,287500",9,2,8,1,0,1,0,6,4,7,2,3,8,0,2,5,8,1,0,7,3,7,6,7,4,6,1,3,7,5,8,2,4,3,5,4,9,1,0,2,9,8,9,4,6,1,7,3,5,6,8,3,0,4,9,2,5,9,6,287500,277500
"282500,287500",8,2,8,1,2,0,0,6,4,7,2,2,8,0,2,5,8,1,0,6,3,7,5,7,3,7,1,3,7,3,5,4,7,3,6,5,9,1,1,1,9,9,9,4,8,0,6,3,4,6,9,5,0,4,9,2,6,8,4,287500,282500
"287500,287500",7,3,8,1,2,0,0,5,5,5,3,1,6,0,2,3,8,0,0,6,3,7,4,7,4,7,2,2,8,3,6,4,7,4,6,5,9,1,1,1,9,8,9,3,8,1,6,2,4,7,9,5,0,4,9,2,8,9,6,287500,287500
"292500,287500",6,2,8,1,1,0,0,6,4,6,3,2,5,0,1,3,8,1,0,6,4,7,3,7,4,6,3,2,8,3,7,5,8,5,7,7,9,2,1,1,9,9,9,3,8,0,5,2,4,6,8,4,0,4,9,2,7,9,5,287500,292500
"297500,287500",7,3,9,1,1,0,0,7,4,6,5,2,5,1,3,2,8,0,0,7,2,6,6,7,5,7,4,2,6,2,7,3,5,4,6,6,9,2,1,1,9,9,9,3,8,0,4,1,4,8,8,5,0,3,9,3,8,8,4,287500,297500
"257500,282500",9,0,0,3,2,2,0,4,2,8,2,7,8,1,3,4,7,0,0,4,1,8,4,7,5,6,3,6,7,5,6,3,5,3,5,7,8,0,1,1,9,9,9,6,8,1,8,3,6,6,7,4,1,2,9,2,4,9,5,282500,257500
"262500,282500",9,3,9,2,1,0,0,3,0,8,3,5,8,2,2,4,3,1,0,4,1,8,4,7,6,6,4,6,7,7,6,3,5,3,5,7,8,0,0,2,9,8,9,5,5,1,6,2,4,7,8,4,1,1,9,2,6,9,7,282500,262500
"267500,282500",9,1,8,2,2,0,1,5,3,8,1,4,8,1,2,5,6,0,0,4,2,8,4,7,4,6,3,5,7,6,7,3,5,3,7,7,9,0,1,2,9,9,9,5,6,0,7,2,4,6,8,3,0,3,9,1,4,8,6,282500,267500
"272500,282500",9,1,8,2,2,1,1,5,3,8,0,4,8,1,2,5,7,1,0,6,2,7,4,7,3,6,2,4,8,6,7,3,6,3,6,6,9,0,0,1,9,7,9,4,5,0,8,3,4,5,8,2,0,4,9,3,5,9,7,282500,272500
"277500,282500",9,1,8,2,1,0,0,6,5,7,2,3,8,0,2,5,8,1,0,7,3,7,5,7,4,6,2,3,7,4,7,3,6,3,6,5,9,0,1,1,9,8,9,4,6,1,8,3,4,4,8,2,0,4,9,2,5,9,6,282500,277500
"282500,282500",8,2,9,2,3,0,0,6,6,7,2,4,9,0,1,6,8,0,0,5,3,7,4,6,4,7,1,2,8,3,5,4,6,3,6,5,9,1,1,2,9,8,9,4,8,1,7,3,4,7,8,5,0,5,9,1,3,7,2,282500,282500
"287500,282500",8,3,8,1,3,0,0,5,5,6,2,1,7,0,1,4,8,0,0,7,3,7,4,5,3,6,2,2,7,3,5,4,7,4,6,6,9,1,1,2,9,8,9,3,8,1,6,2,4,7,9,5,0,4,9,2,8,9,6,282500,287500
"292500,282500",7,3,9,1,1,1,0,6,5,6,4,2,5,0,2,2,8,0,0,7,3,6,5,6,4,6,3,1,7,3,7,4,6,5,7,7,9,1,1,2,9,9,9,3,9,0,5,2,4,8,8,4,0,4,8,2,8,8,3,282500,292500
"297500,282500",7,3,9,1,2,1,0,7,6,6,5,2,4,0,3,1,8,0,0,7,2,5,5,6,5,6,4,1,6,2,7,3,4,4,7,7,9,1,1,2,9,9,9,4,9,0,5,2,4,8,8,6,0,3,8,3,8,8,3,282500,297500
"257500,277500",9,0,0,3,2,1,0,4,3,8,2,7,8,1,3,4,7,0,0,5,1,8,4,7,5,6,3,4,7,5,6,3,4,3,6,7,8,0,1,2,9,9,9,6,7,1,8,2,5,6,8,4,1,2,9,2,5,9,6,277500,257500
"262500,277500",9,0,4,2,1,1,0,6,3,8,2,5,8,1,3,3,7,1,0,4,1,8,4,8,6,7,3,4,7,5,6,3,5,3,6,7,8,0,0,2,9,9,9,5,7,1,7,2,4,6,8,4,0,2,9,2,5,9,6,277500,262500
"267500,277500",9,0,7,1,2,1,1,6,3,8,1,4,8,0,2,4,7,1,0,6,2,8,4,8,4,6,3,4,7,5,7,3,6,3,6,7,9,0,1,2,9,9,9,5,6,0,7,2,3,5,8,4,0,3,9,2,5,8,5,277500,267500
"272500,277500",9,1,8,1,3,1,2,6,4,8,0,5,8,1,2,5,7,2,0,6,2,8,4,8,3,6,2,4,7,5,7,3,6,3,6,7,9,0,0,1,9,9,9,5,6,0,7,2,4,4,8,3,0,3,9,1,4,7,5,277500,272500
"277500,277500",8,2,7,1,2,0,1,5,4,8,1,3,7,0,2,5,8,1,0,7,3,8,5,7,3,7,2,2,7,4,6,3,6,3,6,6,9,1,0,2,9,9,9,6,8,0,8,4,5,4,9,5,0,4,9,1,3,6,4,277500,277500
